ἐκέλευσα<br><br>1 Present;κελεύω
ἀφίστημι<br><br>5 Perfect Passive;ἀφέσταμαι
ἀφίστημι<br><br>6 Aorist Passive;ἀπεστάθην
ἀπέδωκα<br><br>1 Present;ἀποδίδωμι
ἀποδίδωμι<br><br>2 Future;ἀποδώσω
ἀποδίδωμι<br><br>3 Aorist;ἀπέδωκα
ἀποδίδωμι<br><br>4 Perfect;ἀποδέδωκα
ἀποδίδωμι<br><br>5 Perfect Passive;ἀποδέδομαι
ἀποδίδωμι<br><br>6 Aorist Passive;ἀπεδόθην
κατέστησα<br><br>1 Present;καθίστημι
καθίστημι<br><br>2 Future;καταστήσω
καθίστημι<br><br>3 Aorist;κατέστησα
καθίστημι<br><br>5 Perfect Passive;καθέσταμαι
καθίστημι<br><br>6 Aorist Passive;κατεστάθην
κατέστην<br><br>1 Present;καθίσταμαι
καθίσταμαι<br><br>2 Future;καταστήσομαι
καθίσταμαι<br><br>3 Aorist;κατέστην
καθίσταμαι<br><br>4 Perfect;καθέστηκα
κατέλυσα<br><br>1 Present;καταλύ̄ω
καταλύω<br><br>2 Future;καταλύ̄σω
καταλύω<br><br>3 Aorist;κατέλῡσα
καταλύω<br><br>4 Perfect;καταλέλυκα
καταλύω<br><br>5 Perfect Passive;καταλέλυμαι
καταλύω<br><br>6 Aorist Passive;κατελύθην
ἔθηκα<br><br>1 Present;τίθημι
τίθημι<br><br>2 Future;θήσω
τίθημι<br><br>3 Aorist;ἔθηκα
τίθημι<br><br>4 Perfect;τέθηκα
τίθημι<br><br>5 Perfect Passive;τέθειμαι
τίθημι<br><br>6 Aorist Passive;ἐτέτην
ἀνέθηκα<br><br>1 Present;ἀνατίθημι
ἀνατίθημι<br><br>2 Future;ἀναθήσω
ἀνατίθημι<br><br>3 Aorist;ἀνέθηκα
ἀνατίθημι<br><br>4 Perfect;ἀνατέθηκα
ἀνατίθημι<br><br>5 Perfect Passive;ἀνατέθειμαι
ἀνατίθημι<br><br>6 Aorist Passive;ἀνετέτην
ἐφίλησα<br><br>1 Present;φιλέω
φιλῶ<br><br>2 Future;φιλήσω
φιλῶ<br><br>3 Aorist;ἐφίλησα
φιλῶ<br><br>4 Perfect;πεφίληκα
φιλῶ<br><br>5 Perfect Passive;πεφίλημαι
φιλῶ<br><br>6 Aorist Passive;ἐφιλήθην
ἐφοβήθην<br><br>1 Present;φοβέομαι
φοβοῦμαι<br><br>2 Future;φοβήσομαι
φοβοῦμαι<br><br>3 Aorist;ἐφοβήθην
φοβοῦμαι<br><br>4 Perfect;πεφόβημαι
ἐγενόμην<br><br>1 Present;γίγνομαι
γίγνομαι<br><br>2 Future;γενήσομαι
γίγνομαι<br><br>3 Aorist;ἐγενόμην
γίγνομαι<br><br>4 Perfect;γέγονα
